X,Y,SHORTESTDIST,CONCRETE,HBLOCK,BRICK,WOOD,GLASS,RCCROOF,OUTPUT
480,300,80,0,0,0,0,0,0,3
480,305,75,0,0,0,0,0,0,3
480,310,71,0,0,0,0,0,0,2
480,315,67,0,0,0,0,0,0,2
480,320,63,0,0,0,0,0,0,2
480,325,59,0,0,0,0,0,0,2
480,330,55,0,0,0,0,0,0,2
480,335,52,0,0,0,0,0,0,2
480,340,48,0,0,0,0,0,0,2
480,345,45,0,0,0,0,0,0,2
480,350,43,0,0,0,0,0,0,2
480,355,41,0,0,0,0,0,0,1
480,360,39,0,0,0,0,0,0,1
480,365,38,0,0,0,0,0,0,1
480,370,38,0,0,0,0,0,0,1
480,375,38,0,0,0,0,0,0,1
480,380,39,0,0,0,0,0,0,1
480,385,41,0,0,0,0,0,0,1
480,390,43,0,0,0,0,0,0,2
480,395,45,0,0,0,0,0,0,2
480,400,48,0,0,0,0,0,0,2
480,405,52,0,0,0,0,0,0,2
480,410,55,0,0,0,0,0,0,2
480,415,59,0,0,0,0,0,0,2
480,420,63,0,0,0,0,0,0,2
485,300,77,0,0,0,0,0,0,3
485,305,73,0,0,0,0,0,0,3
485,310,68,0,0,0,0,0,0,2
485,315,64,0,0,0,0,0,0,2
485,320,60,0,0,0,0,0,0,2
485,325,56,0,0,0,0,0,0,2
485,330,52,0,0,0,0,0,0,2
485,335,48,0,0,0,0,0,0,2
485,340,45,0,0,0,0,0,0,2
485,345,41,0,0,0,0,0,0,1
485,350,39,0,0,0,0,0,0,1
485,355,36,0,0,0,0,0,0,1
485,360,34,0,0,0,0,0,0,1
485,365,33,0,0,0,0,0,0,1
485,370,33,0,0,0,0,0,0,1
485,375,33,0,0,0,0,0,0,1
485,380,34,0,0,0,0,0,0,1
485,385,36,0,0,0,0,0,0,1
485,390,39,0,0,0,0,0,0,1
485,395,41,0,0,0,0,0,0,1
485,400,45,0,0,0,0,0,0,2
485,405,48,0,0,0,0,0,0,2
485,410,52,0,0,0,0,0,0,2
485,415,56,0,0,0,0,0,0,2
485,420,60,0,0,0,0,0,0,2
490,300,75,0,0,0,0,0,0,3
490,305,71,0,0,0,0,0,0,2
490,310,66,0,0,0,0,0,0,2
490,315,62,0,0,0,0,0,0,2
490,320,57,0,0,0,0,0,0,2
490,325,53,0,0,0,0,0,0,2
490,330,49,0,0,0,0,0,0,2
490,335,45,0,0,0,0,0,0,2
490,340,41,0,0,0,0,0,0,1
490,345,38,0,0,0,0,0,0,1
