X,Y,SHORTESTDIST,CONCRETE,HBLOCK,BRICK,WOOD,GLASS,RCCROOF,OUTPUT
480,300,90,0,0,0,0,0,0,3
480,305,86,0,0,0,0,0,0,3
480,310,82,0,0,0,0,0,0,3
480,315,78,0,0,0,0,0,0,3
480,320,74,0,0,0,0,0,0,3
480,325,71,0,0,0,0,0,0,2
480,330,67,0,0,0,0,0,0,2
480,335,64,0,0,0,0,0,0,2
480,340,61,0,0,0,0,0,0,2
480,345,58,0,0,0,0,0,0,2
480,350,56,0,0,0,0,0,0,2
480,355,54,0,0,0,0,0,0,2
480,360,52,0,0,0,0,0,0,2
480,365,51,0,0,0,0,0,0,2
480,370,50,0,0,0,0,0,0,2
480,375,50,0,0,0,0,0,0,2
480,380,50,0,0,0,0,0,0,2
480,385,51,0,0,0,0,0,0,2
480,390,52,0,0,0,0,0,0,2
480,395,54,0,0,0,0,0,0,2
480,400,56,0,0,0,0,0,0,2
480,405,58,0,0,0,0,0,0,2
480,410,61,0,0,0,0,0,0,2
480,415,64,0,0,0,0,0,0,2
480,420,67,0,0,0,0,0,0,2
485,300,87,0,0,0,0,0,0,3
485,305,83,0,0,0,0,0,0,3
485,310,79,0,0,0,0,0,0,3
485,315,75,0,0,0,0,0,0,3
485,320,71,0,0,0,0,0,0,2
485,325,67,0,0,0,0,0,0,2
485,330,64,0,0,0,0,0,0,2
485,335,60,0,0,0,0,0,0,2
485,340,57,0,0,0,0,0,0,2
485,345,54,0,0,0,0,0,0,2
485,350,51,0,0,0,0,0,0,2
485,355,49,0,0,0,0,0,0,2
485,360,47,0,0,0,0,0,0,2
485,365,46,0,0,0,0,0,0,2
485,370,45,0,0,0,0,0,0,2
485,375,45,0,0,0,0,0,0,2
485,380,45,0,0,0,0,0,0,2
485,385,46,0,0,0,0,0,0,2
485,390,47,0,0,0,0,0,0,2
485,395,49,0,0,0,0,0,0,2
485,400,51,0,0,0,0,0,0,2
485,405,54,0,0,0,0,0,0,2
485,410,57,0,0,0,0,0,0,2
485,415,60,0,0,0,0,0,0,2
485,420,64,0,0,0,0,0,0,2
490,300,85,0,0,0,0,0,0,3
490,305,81,0,0,0,0,0,0,3
490,310,76,0,0,0,0,0,0,3
490,315,72,0,0,0,0,0,0,3
490,320,68,0,0,0,0,0,0,2
490,325,64,0,0,0,0,0,0,2
